48,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,110:47,"
                + ",-
49,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,110:47,"
                + ",*
50,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,110:47,"
                + ",/
51,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,110:47,"
                + ",%
52,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,110:47,"
                + ",**
53,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,111:87, - ,+
54,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,111:87, - ,*
55,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,111:87, - ,/
56,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,111:87, - ,%
57,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,111:87, - ,**
58,SwapArgumentsOperatorMutation,src/libraries/logic/AccountingSyncLogic.sol,111:73,ltEffectiveNAV - state.ltProtocolFee,state.ltProtocolFee - ltEffectiveNAV
59,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,98:13,"totalTrancheShares = jtTotalSupply
                + ValuationLogic._convertToShares(state.jtProtocolFee, (state.jtEffectiveNAV - state.jtProtocolFee), jtTotalSupply, Math.Rounding.Floor)",assert(true)
60,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,98:34,"jtTotalSupply
                + ValuationLogic._convertToShares(state.jtProtocolFee, (state.jtEffectiveNAV - state.jtProtocolFee), jtTotalSupply, Math.Rounding.Floor)",0
61,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,98:34,"jtTotalSupply
                + ValuationLogic._convertToShares(state.jtProtocolFee, (state.jtEffectiveNAV - state.jtProtocolFee), jtTotalSupply, Math.Rounding.Floor)",(-1)
